date;category;value
2021-06-27;Канцтовары;-0.8460609
2021-06-20;Канцтовары;-1.1449292
2021-06-13;Канцтовары;-0.5296121
2021-06-06;Канцтовары;0.15602681
2021-05-30;Канцтовары;0.88561696
2021-05-23;Канцтовары;1.1844852
2021-05-16;Канцтовары;-0.5120317
2021-05-09;Канцтовары;-22.373365
2021-05-02;Канцтовары;0.18239754
2021-04-25;Канцтовары;1.210856
2021-04-18;Канцтовары;1.1669047
2021-04-11;Канцтовары;0.9207779
2021-04-04;Канцтовары;1.0965828
2021-03-28;Канцтовары;0.6131194
2021-03-21;Канцтовары;0.8680365
2021-03-14;Канцтовары;-0.43291947
2021-03-07;Канцтовары;2.0283484
2021-02-28;Канцтовары;-0.88122183
2021-02-21;Канцтовары;1.3163389
2021-02-14;Канцтовары;0.05933414
2021-02-07;Канцтовары;-0.49445117
2025-03-30;Канцтовары;-7.553016
2025-03-23;Канцтовары;-7.078343
2025-03-16;Канцтовары;-6.717943
2025-03-09;Канцтовары;-6.4893966
2025-03-02;Канцтовары;-6.568509
2025-02-23;Канцтовары;-6.5860896
2025-02-16;Канцтовары;-5.847709
2025-02-09;Канцтовары;-6.7794747
2025-02-02;Канцтовары;-6.5948796
2025-01-26;Канцтовары;-6.3311725
2025-01-19;Канцтовары;-5.6103725
2025-01-12;Канцтовары;-10.6383915
2025-01-05;Канцтовары;-17.48599
2024-12-29;Канцтовары;-1.8569388
2024-12-22;Канцтовары;-4.195143
2024-12-15;Канцтовары;-4.388529
2024-12-08;Канцтовары;-4.8544116
2024-12-01;Канцтовары;-5.0477967
2024-11-24;Канцтовары;-5.4960995
2024-11-17;Канцтовары;-6.049885
2024-11-10;Канцтовары;-6.7970552
2024-11-03;Канцтовары;-7.078343
2024-10-27;Канцтовары;-5.1269093
2024-10-20;Канцтовары;-4.79288
2024-10-13;Канцтовары;-5.8301287
2024-10-06;Канцтовары;-4.5907044
2024-09-29;Канцтовары;-4.986265
2024-09-22;Канцтовары;-4.3709483
2024-09-15;Канцтовары;-2.586529
2024-09-08;Канцтовары;0.19118778
2024-09-01;Канцтовары;-0.23953411
2024-08-25;Канцтовары;-4.045709
2024-08-18;Канцтовары;-5.4697285
2024-08-11;Канцтовары;-6.049885
2024-08-04;Канцтовары;-6.647621
2024-07-28;Канцтовары;-9.020987
2024-07-21;Канцтовары;-8.388089
2024-07-14;Канцтовары;-9.425338
2024-07-07;Канцтовары;-8.528733
2024-06-30;Канцтовары;-7.6936603
2024-06-23;Канцтовары;-7.68487
2024-06-16;Канцтовары;-7.9222064
2024-06-09;Канцтовары;-7.0959234
2024-06-02;Канцтовары;-6.23448
2024-05-26;Канцтовары;-6.61246
2024-05-19;Канцтовары;-6.287221
2024-05-12;Канцтовары;-8.238655
2024-05-05;Канцтовары;-12.06241
2024-04-28;Канцтовары;-4.871992
2024-04-21;Канцтовары;-5.5840015
2024-04-14;Канцтовары;-5.5840015
2024-04-07;Канцтовары;-5.2148113
2024-03-31;Канцтовары;-6.199319
2024-03-24;Канцтовары;-4.8983626
2024-03-17;Канцтовары;-4.546753
2024-03-10;Канцтовары;-3.896275
2024-03-03;Канцтовары;-3.061202
2024-02-25;Канцтовары;-3.5270848
2024-02-18;Канцтовары;-2.797495
2024-02-11;Канцтовары;-3.1051533
2024-02-04;Канцтовары;-3.026041
2024-01-28;Канцтовары;-3.3249094
2024-01-21;Канцтовары;-3.1139436
2024-01-14;Канцтовары;-3.8083727
2024-01-07;Канцтовары;-21.740469
2023-12-31;Канцтовары;1.9228656
2023-12-24;Канцтовары;1.1317438
2023-12-17;Канцтовары;0.63069993
2023-12-10;Канцтовары;0.10328535
2023-12-03;Канцтовары;0.26150972
2023-11-26;Канцтовары;-0.4856609
2023-11-19;Канцтовары;-0.28348532
2023-11-12;Канцтовары;-0.88122183
2023-11-05;Канцтовары;-2.120646
2023-10-29;Канцтовары;-1.6899242
2023-10-22;Канцтовары;-1.030656
2023-10-15;Канцтовары;-0.38896826
2023-10-08;Канцтовары;-0.028568288
2023-10-01;Канцтовары;0.63069993
2023-09-24;Канцтовары;1.36029
2023-09-17;Канцтовары;2.511812
2023-09-10;Канцтовары;4.911548
2023-09-03;Канцтовары;6.159763
2023-08-27;Канцтовары;2.80189
